Crystal Structure,Mohs Hardness,Diaphaneity,Specific Gravity,Optical,Refractive Index,Dispersion,Molar Mass,Molar Volume,Calculated Density,Hydrated Water
4,-0.7572560028763221,1.4295423296310563,0.0350454103145568,-0.6627628766480502,-0.4887875961207321,-0.17201254098337718,-0.06262315198288568,-0.39536358228671636,0.5962302614399099,0.1208791459275178
5,-1.1840523754047163,1.4295423296310563,0.84626623397038,-0.6627628766480502,1.4826329506942948,-0.17201254098337718,0.9814304421779921,0.2198889703340466,0.5213605545633385,-0.2984785064825632
2,0.8076640297277908,-0.12776102945978043,-1.96052450085521,0.5673032030567672,-0.32083696130079137,-0.17201254098337718,0.8527411038106905,0.12228307594762058,0.5739519584181005,-0.2984785064825632
2,-0.3304596303479276,1.4295423296310563,-0.09071880361976509,0.5673032030567672,-1.0286289223276868,-0.17201254098337718,-0.5125572203889711,-0.4988735913428637,-0.23171913119027082,0.1208791459275178
2,1.0921949447467205,-1.685064388550617,0.12166447156733437,0.5673032030567672,0.2469961373761541,-0.17201254098337718,-0.6644269605878256,-0.6029409970471022,-0.3591802419216042,-0.2984785064825632
1,0.8076640297277908,-1.685064388550617,0.3382121246992792,0.5673032030567672,0.4589338432203657,-0.17201254098337718,1.3884961788276617,1.1587554402605649,-0.2536322161297549,-0.2984785064825632
2,-0.6149905453668573,-0.12776102945978043,-0.7695124086295145,0.5673032030567672,6.6731073315582,-0.17201254098337718,0.5207344024018956,0.22553209135016591,-0.017336116865649523,-0.2984785064825632
5,-0.3304596303479276,1.4295423296310563,-0.6695673379532323,-0.6627628766480502,-0.7527100222663546,-0.17201254098337718,2.955112741525611,1.161146541522728,0.7295348614884388,-0.2984785064825632
2,-0.3304596303479276,-0.12776102945978043,-0.6445810702841619,0.5673032030567672,-0.36082520768649085,-0.17201254098337718,4.829680453130333,4.89026824141784,-0.44573692743256693,-0.2984785064825632
1,0.8076640297277908,-0.12776102945978043,-0.4363621730419075,0.5673032030567672,-0.5527687903378535,-0.17201254098337718,0.984583202349224,1.3665016734451363,-0.6217720431130905,-0.2984785064825632
1,-1.1840523754047163,-0.12776102945978043,-0.36973212592438603,0.5673032030567672,-0.49278642075930257,-0.17201254098337718,3.3247078984711957,3.024410096767014,-0.3237540879361046,0.5402367983375986
4,0.8076640297277908,-0.12776102945978043,-0.38305813534789035,-0.6627628766480502,-0.3128393120236513,-0.17201254098337718,-0.5755077892221825,-0.6027921483817471,0.013342202049628316,-0.2984785064825632
