Std,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,HV
ANSI ANSI Steel SAE 4150 normalized,1155,734,11.7,321.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4150 annealed,729,379,20.2,197.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4320 normalized,793,464,20.8,235.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4320 annealed,579,425,29.0,163.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4340 annealed,745,472,22.0,217.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4620 normalized,574,366,29.0,174.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4620 annealed,512,372,31.3,149.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4820 normalized,755,484,24.0,229.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 4820 annealed,681,464,22.3,197.0,207000,79000,0.3,7860,420.0,0.0
ANSI ANSI Steel SAE 5140 normalized,793,472,22.7,229.0,207000,79000,0.3,7860,470.0,0.0
ANSI ANSI Steel SAE 5140 annealed,572,293,28.6,167.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 5150 normalized,870,529,20.7,255.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 5150 annealed,676,357,22.0,197.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 5160 normalized,957,531,17.5,269.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 5160 annealed,722,276,17.2,197.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 6150 normalized,939,615,21.8,269.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 6150 annealed,667,412,23.0,197.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8620 normalized,633,357,26.3,183.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8620 annealed,536,385,31.3,149.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8630 normalized,650,429,23.5,187.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8630 annealed,564,372,29.0,156.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8650 normalized,1024,688,14.0,302.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8650 annealed,715,386,22.5,212.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8740 normalized,929,607,16.0,269.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 8740 annealed,695,415,22.2,201.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 9255 normalized,933,579,19.7,269.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 9255 annealed,774,486,21.7,229.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 9310 normalized,907,571,18.8,269.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 9310 annealed,820,440,17.3,241.0,207000,79000,0.3,7860,0.0,0.0
ANSI ANSI Steel SAE 30201 annealed,793,379,55.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30201 1/4-hard,862,517,20.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30201 1/2-hard,1034,758,10.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30202 annealed,724,379,55.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30202 1/4-hard,862,517,12.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30301 annealed,758,276,60.0,165.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30301 1/4-hard,862,517,25.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30301 1/2-hard,1034,758,15.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30302 annealed,621,255,55.0,155.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30302 1/4-hard,862,517,12.0,0.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30302B annealed,655,276,50.0,165.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30303 annealed,621,241,50.0,160.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30304 annealed,586,241,55.0,150.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30304L annealed,552,207,55.0,140.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30305 annealed,586,255,55.0,156.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30308 annealed,586,241,55.0,150.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30309 annealed,621,276,45.0,165.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30310 annealed,655,276,45.0,170.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30314 annealed,689,345,45.0,170.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30316 annealed,586,241,55.0,150.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30316L annealed,538,207,55.0,145.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30317 annealed,621,276,50.0,160.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30321 annealed,600,241,55.0,150.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30347 annealed,634,241,50.0,160.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 30348 annealed,634,241,50.0,160.0,193000,743000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51403 annealed,517,276,30.0,155.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51405 annealed,483,276,30.0,150.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51410 annealed,517,276,30.0,155.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51414 annealed,827,655,17.0,235.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51416 annealed,517,276,30.0,155.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51420 annealed,655,345,25.0,195.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51430 annealed,517,310,30.0,155.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51430F annealed,552,379,25.0,170.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51431 annealed,862,655,20.0,260.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51440A annealed,724,414,20.0,215.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51440C annealed,758,448,13.0,230.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51446 annealed,552,345,23.0,170.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51501 annealed,483,207,28.0,160.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Steel SAE 51502 annealed,483,207,30.0,150.0,200000,769000,0.3,8030,0.0,0.0
ANSI ANSI Grey cast iron class 20 Desconhecido,138,138,0.0,0.0,80000,32000,0.25,7160,248.0,0.0
ANSI ANSI Grey cast iron class 25 Desconhecido,172,172,0.0,0.0,98000,39000,0.25,7160,303.0,0.0
ANSI ANSI Grey cast iron class 30 Desconhecido,207,207,0.0,0.0,100000,40000,0.25,7160,331.0,0.0
ANSI ANSI Grey cast iron class 35 Desconhecido,241,241,0.0,0.0,110000,44000,0.25,7160,386.0,0.0
ANSI ANSI Grey cast iron class 40 Desconhecido,276,276,0.0,0.0,117000,47000,0.25,7160,427.0,0.0
ANSI ANSI Grey cast iron class 50 Desconhecido,345,345,0.0,0.0,124000,50000,0.25,7160,517.0,0.0
ANSI ANSI Grey cast iron class 60 Desconhecido,414,414,0.0,0.0,137000,55000,0.25,7160,593.0,0.0
ANSI ANSI Malleable cast iron Desconhecido,276,207,0.0,0.0,172000,68000,0.27,7160,207.0,0.0
ANSI ANSI Malleable cast iron Desconhecido,414,317,0.0,0.0,172000,68000,0.27,7160,310.0,0.0
ANSI ANSI Malleable cast iron Desconhecido,552,427,0.0,0.0,172000,68000,0.27,7160,414.0,0.0
ANSI ANSI Malleable cast iron Desconhecido,689,538,0.0,0.0,172000,68000,0.27,7160,517.0,0.0
ANSI ANSI Nodular cast iron Desconhecido,414,276,0.0,0.0,159000,66000,0.2,7160,331.0,0.0
ANSI ANSI Nodular cast iron Desconhecido,552,365,0.0,0.0,159000,66000,0.2,7160,441.0,0.0
ANSI ANSI Nodular cast iron Desconhecido,689,455,0.0,0.0,159000,66000,0.2,7160,552.0,0.0
ANSI ANSI Nodular cast iron Desconhecido,827,552,0.0,0.0,159000,66000,0.2,7160,662.0,0.0
ANSI ANSI Copper Alloy C80100 Desconhecido,172,62,40.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI High-Copper Alloy C81300 Desconhecido,365,248,11.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI High-Copper Alloy C81500 Desconhecido,352,276,17.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI High-Copper Alloy C81700 Desconhecido,634,469,8.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Red brass C83300 Desconhecido,221,69,35.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Red brass C83400 Desconhecido,241,69,30.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Red brass C83600 Desconhecido,255,117,30.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Red brass C83800 Desconhecido,241,110,25.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Semi-red Brass C84200 Desconhecido,241,97,27.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Semi-red Brass C84400 Desconhecido,234,97,26.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Semi-red Brass C84500 Desconhecido,241,97,28.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Semi-red Brass C84800 Desconhecido,241,97,30.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Yellow Brass C85200 Desconhecido,262,90,35.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Yellow Brass C85400 Desconhecido,234,83,35.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Yellow Brass C85500 Desconhecido,414,159,40.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Yellow Brass C85700 Desconhecido,345,124,40.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Yellow Brass C85800 Desconhecido,379,207,15.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Manganese Bronze C86100 Desconhecido,655,345,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86200 Desconhecido,655,331,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86300 Desconhecido,793,572,15.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86400 Desconhecido,448,172,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86500 Desconhecido,490,193,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86700 Desconhecido,586,290,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Manganese Bronze C86800 Desconhecido,565,262,22.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Brass C87200 Desconhecido,379,172,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Bronze C87400 Desconhecido,379,165,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Bronze C87500 Desconhecido,462,207,21.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Bronze C87600 Desconhecido,455,221,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Bronze C87800 Desconhecido,586,345,25.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Silicon Bronze C87900 Desconhecido,483,241,25.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C90200 Desconhecido,262,110,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C90300 Desconhecido,310,145,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C90500 Desconhecido,310,152,25.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C90700 Desconhecido,303,152,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C90900 Desconhecido,276,138,15.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C91000 Desconhecido,221,172,2.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C91100 Desconhecido,241,172,2.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C91300 Desconhecido,241,207,0.5,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C91600 Desconhecido,303,152,16.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Tin Bronze C91700 Desconhecido,303,152,16.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92200 Desconhecido,276,138,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92300 Desconhecido,276,138,25.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92500 Desconhecido,303,138,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92600 Desconhecido,303,138,30.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92700 Desconhecido,290,145,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Leaded Tin Bronze C92800 Desconhecido,276,207,0.0,0.0,120000,45000,0.31,8800,0.0,0.0
